,full_text,Label
4,He also pointed to the presence of the pneumonic version which spreads more easily and is more virulent in the latest outbreak.,Appeal_to_fear-prejudice
5,He praised the rapid response from WHO and Madagascar authorities that helped bring the outbreak under control but warned that the danger was not over.,Appeal_to_fear-prejudice
6,This along with poor sanitation and vector control on Madagascar meant that when the plague comes again it starts from more stock and the magnitude in the next transmission could be higher than the one that we saw Tedros said.,Appeal_to_fear-prejudice
7,That means that Madagascar could be affected more and not only that it could even spill over into neighbouring countries and beyond he warned.,Appeal_to_fear-prejudice
28,Members of the group and advocates say they fear they could face discrimination or violence if forced to return to the world s largest Muslim majority country.,Appeal_to_fear-prejudice
119,Deal said other students told her daughter that she was going to hell.,Appeal_to_fear-prejudice
176,In a sense what Bergoglio is doing is worse than explicit heresy which could at least be readily identified and denounced as such.,Appeal_to_fear-prejudice
191,McMaster said that the so called liberation of areas by Assad s forces and Iranian proxies could actually accelerate the cycle of violence and perpetuate conflict rather than get us to a sustainable outcome. He claimed that the Trump administration s objectives are to weaken Iranian influence across the region broadly without discussing the means to accomplish those objectives.,Appeal_to_fear-prejudice
223,Either you stand with BDS Hamas blood libels and those who want to destroy Israel or with Jews.,Appeal_to_fear-prejudice
237,We know it is demonically inspired because their hatred is for Christ Himself in the first place and for anyone who loves and wants to serve Him second. They are men who refuse to bend the knee before the God whom they will not serve,Appeal_to_fear-prejudice
244,A dark impenetrable and irreversible winter of persecution of the faithful by their own shepherds will fall.,Appeal_to_fear-prejudice
265,A moral catastrophe is self evidently underway and it is not possible honestly to deny its cause.,Appeal_to_fear-prejudice
287,Any Jew who opposes the Occupation or opposes Zionism itself knows that feeling of being shunned from the places that are supposed to shelter and nurture you families synagogues community centers arts organizations Fishback continues.,Appeal_to_fear-prejudice
320,Therefore we encourage the US Administration and Congress to consider the implications to the security of the US and its allies before taking any steps that might undermine the JCPOA such as re imposing sanctions on Iran lifted under the agreement.,Appeal_to_fear-prejudice
327,It is precisely because North Korea s actions over the last 23 years have proven that making concessions to a rogue regime in order to obtain denuclearization commitments is so dangerous that President Trump does not want to make the same mistake with Iran.,Appeal_to_fear-prejudice
334,With the ease of spreading the plague the likelihood that this disease will move to other more densely populated regions of the planet has become a huge concern for many.,Appeal_to_fear-prejudice
335,The incubation period is extremely short too and an infected person may die within 12 to 24 hours of contracting the bacteria making cures in underdeveloped regions of the globe difficult at best.,Appeal_to_fear-prejudice
344,Before Trump discussed Iran s breaches of the nuclear deal he first demonstrated that contrary to the expressed views of his top advisers it is impossible to limit a realistic discussion of the threat Iran constitutes to US national security and interests to whether or not and it what manner it is breaching the nuclear accord.,Appeal_to_fear-prejudice
