,full_text,Label
20,The surprise acquittal of Jose Ines Garcia Zarate in the shooting death of San Francisco woman Kate Steinle set off a firestorm of outrage Thursday night as top conservatives and critics of so called sanctuary cities pinned blame for Steinle s death on illegal immigration and insufficiently aggressive deportation policies.,Causal_Oversimplification
21,This tragedy could have been prevented if San Francisco had simply turned the alien over to ICE as we requested instead of releasing him back onto the streets ICE Director Thomas Homan said in a statement on Thursday.,Causal_Oversimplification
22,Garcia Zarate s deportation and criminal history made him an effective target for immigration hardliners who argued that Steinle would still be alive were it not for an insecure border and lenient treatment toward suspected undocumented immigrants in local jails.,Causal_Oversimplification
33,Still the delay prompted critics to speculate that the delay signaled the White House was having second thoughts about the nomination.,Causal_Oversimplification
51,It s no surprise that someone who hires based on what he thinks someone doing that job should look like which seems to be based on hazy old time Hollywood casting would wind up with fewer women in his administration than any of his recent predecessors.,Causal_Oversimplification
66,Trump has decided to intervene in a pending law enforcement investigation by ordering the selective release of materials he believes are helpful to his defense team and thinks will advance a false narrative Schiff said.,Causal_Oversimplification
146,During it Mr. Farrakhan said that the powerful Jews were his enemies and that Jews were responsible for all of this filth and degenerate behavior that Hollywood is putting out turning men into women and women into men as well as other incendiary remarks.,Causal_Oversimplification
167,All of the critics of AL are wrong every one of them because you see the original Latin text does not say what the English text does.,Causal_Oversimplification
171,So as Fastiggi and Goldstein would have it all the tumult triggered by AL is just a misunderstanding caused by uninformed people who haven t consulted the Latin text including those ignorant Vatican translators.,Causal_Oversimplification
185,Despite Israel s repeated warnings Barack Obama s reckless appeasement of the Iranian regime has enabled its rise as a hegemonic threat in the Middle East region as well as a threat to international peace and security.,Causal_Oversimplification
187,In 2011 Obama precipitously removed the remaining U.S. combat troops from Iraq giving rise to ISIS s re emergence in Iraq from its bases in Syria.,Causal_Oversimplification
189,Obama s disastrous nuclear deal with Iran legitimized Iran s path to eventually becoming a nuclear armed state while immediately filling its coffers with billions of dollars to fund its aggression.,Causal_Oversimplification
361,If they fail the possibility Trump created will be lost perhaps irrevocably.,Causal_Oversimplification
381,They are a perfect match for each other.,Causal_Oversimplification
432,Trump is in the driver s seat because the CIA cannot afford to permit the American people to see the records it wants to continue to be kept secret.,Causal_Oversimplification
433,And once the CIA gives Trump what he wants he will cave and give the CIA the continued secrecy it so desperately needs.,Causal_Oversimplification
438,It s essentially an admission of guilt given that it is absolutely ludicrous to think that national security would be threatened by the release of the CIA s long secret JFK assassination related records.,Causal_Oversimplification
441,They had to make certain that Oswald was not on to them and had not discovered that he was being set up for a frame up.,Causal_Oversimplification
442,On the one hand it knows that those records will further implicate the CIA in the Kennedy assassination.,Causal_Oversimplification
443,On the other hand it knows that by seeking continued secrecy it s essentially an implicit acknowledgment of guilt.,Causal_Oversimplification
444,Not surprisingly it is choosing the latter course especially because it knows that its assets and allies in the mainstream press will continue to come to its defense with respect to its ridiculous claim of national security.,Causal_Oversimplification
505,The local tradition is said to be one of the major causes of the spread of this disease.,Causal_Oversimplification
506,Health officials suspect it s no coincidence that the outbreak coincides with the time of year when families customarily exhume the remains of dead relatives wrap them in a sheet and dance with them through the streets in a sacred ritual AFP reports.,Causal_Oversimplification
524,I have no doubt from the information circulated about me and campaign run against me prior to this vote that this was about my Jewish identity and nothing more wrote Lew.,Causal_Oversimplification
538,But Art of the Deal Trump obviously sat on the request undoubtedly hoping that he could get what he wanted in return if he just continued holding out and conveying that he was ready to release the records.,Causal_Oversimplification
541,Instead it is a virtual certainly that when Art of the Deal Trump sent out those two tweets he was sending a message to the CIA as part of the negotiations Give me what I want or I will release the records.,Causal_Oversimplification
543,Contrary to what the mainstream press is asserting the records undoubtedly contain more incriminating circumstantial evidence that fills in the mosaic of a U.S. national security regime change operation on November 221963.,Causal_Oversimplification
545,On the one hand it could refuse to grant Trump what he wanted and let the records be released which it knew would point to the CIA s guilt in the assassination.,Causal_Oversimplification
546,On the other hand it could give Trump what he wanted and have to suffer the obvious inference that people would draw that the CIA was continuing to cover up incriminatory evidence.,Causal_Oversimplification
